Srno,Question,OptionA,OptionB,OptionC,OptionD,answer
264," How can a company isolate the costs of production and non-production 
workloads on AWS?","Create Identity and Access Management (IAM) roles for production and 
non-production workloads.","Use different accounts for production and 
non-production expenses.","Use Amazon EC2 for non-production workloads and 
other services for production workloads."," Use Amazon CloudWatch to 
monitor the use of services. "," B  
"
265," Where can users find a catalog of AWS-recognized providers of third-party 
security solutions?",AWS Service Catalog,AWS Marketplace,AWS Quick Start," AWS 
CodeDeploy "," A  AWS Service Catalog Delivery Partners are APN Consulting Partners who help 
create catalogs of IT services that are approved by the customerג€™s 
organization for use on AWS. With AWS Service Catalog, customers and 
partners can centrally manage commonly deployed IT services to help achieve 
consistent governance and meet compliance requirements while enabling users 
to self-provision approved 
services."
266," A Cloud Practitioner needs to store data for 7 years to meet regulatory 
requirements.Which AWS service will meet this requirement at the LOWEST cost?",Amazon S3,AWS Snowball,Amazon Redshift, Amazon S3 Glacier ," D  S3 Glacier Deep Archive is Amazon S3ג€™s lowest-cost storage class and 
supports long-term retention and digital preservation for data that may be 
accessed once or twice in a year. It is designed for customers ג€"" 
particularly those in highly-regulated industries, such as the Financial 
Services, Healthcare, and Public Sectorsג€"" that retain data sets for 7-10 
years or longer to meet regulatory compliance requirements. S3 Glacier Deep 
Archive can also be used for backup and disaster recovery use cases, and is 
a cost-effective and easy-to-manage alternative to magnetic tape systems, 
whether they are on-premises libraries or off-premises 
services."
267, What are the immediate benefits of using the AWS Cloud? (Choose two.),Increased IT staff.,"Capital expenses are replaced with variable 
expenses.",User control of infrastructure.," Increased agility. E. AWS 
holds responsibility for security in the cloud. ", BD 
268," Which security service automatically recognizes and classifies sensitive 
data or intellectual property on AWS?",Amazon GuardDuty,Amazon Macie,Amazon Inspector, AWS Shield ," B  Explanation -Amazon Macie is a security service that uses machine learning 
to automatically discover, classify, and protect sensitive data in AWS. 
Macie recognizes sensitive data such as personally identifiable information 
(PII) or intellectual property. It provides you with dashboards and alerts 
that give visibility into how this data is being accessed or 
moved."
269, What is the purpose of AWS Storage Gateway?,It ensures on-premises data storage is 99.999999999% durable.,"It 
transports petabytes of data to and from AWS.","It connects to multiple 
Amazon EC2 instances."," It connects on-premises data storage to the AWS 
Cloud. "," D  Explanation -Moving data to the cloud is not quite as simple as flipping a 
switch. For companies that have managed their own data centers or server 
rooms for decades, there are a few steps to consider -- and itג€™s not 
always wise to pull the plug on an internal infrastructure quite so 
quickly. If a startup uses on-premise business servers and then experiences 
unexpected growth, abandoning those servers doesnג€™t make sense (even if 
the long-term plan is to do exactly that).AWS Storage Gateway is a way to 
bridge this gap for companies of any size. Itג€™s a hybrid storage option 
that connects on-premise storage including age-old tape backup systems to 
the cloud in a way that also provides one console to access all storage 
configurations."
270, Which of the following is an AWS database service?,Amazon Redshift,Amazon Elastic Block Store (Amazon EBS),"Amazon S3 
Glacier", AWS Snowball , A  
271," A system in the AWS Cloud is designed to withstand the failure of one or 
more components.What is this an example of?",Elasticity,High Availability,Scalability, Agility , B  
272," A Cloud Practitioner needs a consistent and dedicated connection between 
AWS resources and an on-premises system.Which AWS service can fulfill this requirement?",AWS Direct Connect,AWS VPN,Amazon Connect, AWS Data Pipeline ," A  You can use AWS Direct Connect to establish a private virtual interface 
from your on-premise network directly to your Amazon VPC, providing you 
with a private, high bandwidth network connection between your network and 
your VPC. With multiple virtual interfaces, you can even establish private 
connectivity to multipleVPCs while maintaining network 
isolation."
273," Within the AWS shared responsibility model, who is responsible for 
security and compliance?",The customer is responsible.,AWS is responsible.,"AWS and the 
customer share responsibility."," AWS shares responsibility with the 
relevant governing body. "," C  Security and Compliance is a shared responsibility between AWS and the 
customer. This shared model can help relieve the customerג€™s operational 
burden asAWS operates, manages and controls the components from the host 
operating system and virtualization layer down to the physical security of 
the facilities in which the service 
operates."
274," To use the AWS CLI, users are required to generate:",a password policy.,an access/secret key.,a managed policy.," an 
API key. ", B 
275, Which AWS service is used to provide encryption for Amazon EBS?,AWS Certificate Manager,AWS Systems Manager,AWS KMS, AWS Config ," C  
"
276," How does AWS charge for AWS Lambda usage once the free tier has been 
exceeded? (Choose two.)",By the time it takes for the Lambda function to execute.,"By the 
number of versions of a specific Lambda function.","By the number of 
requests made for a given Lambda function."," By the programming language 
that is used for the Lambda function. E. By the total number of Lambda 
functions in an AWS account. ", AC 
277," Which of the following describes the relationships among AWS Regions, 
Availability Zones, and edge locations? (Choose two.)",There are more AWS Regions than Availability Zones.,"There are more 
edge locations than AWS Regions.","An edge location is an Availability 
Zone."," There are more AWS Regions than edge locations. E. There are more 
Availability Zones than AWS Regions. ", BE 
278, What does AWS Shield Standard provide?,WAF rules,DDoS protection,"Identity and Access Management (IAM) 
permissions and access to resources", Data encryption ," B  AWS Shield Standard provides protection for all AWS customers from common, 
most frequently occurring network and transport layer DDoS attacks that 
target your web site or application at no additional 
charge."
279," A company wants to build its new application workloads in the AWS Cloud 
instead of using on-premises resources.What expense can be reduced using the AWS Cloud?",The cost of writing custom-built Java or Node .js code,"Penetration 
testing for security",hardware required to support new applications," 
Writing specific test cases for third-party applications. ", C  
280," What should users do if they want to install an application in 
geographically isolated locations?",Install the application using multiple internet gateways.,"Deploy the 
application to an Amazon V","C. Deploy the application to multiple AWS 
Regions.", Configure the application using multiple NAT gateways. ," C  
"
281, What does it mean if a user deploys a hybrid cloud architecture on AWS?,All resources run using on-premises infrastructure.,"Some resources 
run on-premises and some run in a colocation center.","All resources run 
in the AWS Clo"," Some resources run on-premises and some run in the AWS 
Cloud. ", D  
282," Which AWS service allows users to identify the changes made to a resource 
over time?",Amazon Inspector,AWS Config,AWS Service Catalog, AWS IAM ," B  
"
283, How can a company reduce its Total Cost of Ownership (TCO) using AWS?,By minimizing large capital expenditures,"By having no responsibility 
for third-party license costs",By having no operational expenditures," 
By having AWS manage applications "," A  Explanation -AWS helps you reduce Total Cost of Ownership (TCO) by 
reducing the need to invest in large capital expenditures and providing a 
pay-as-you-go model that empowers you to invest in the capacity you need 
and use it only when the business requires 
it."
284," Which activity is a customer responsibility in the AWS Cloud according to 
the AWS shared responsibility model?",Ensuring network connectivity from AWS to the internet,"Patching and 
fixing flaws within the AWS Cloud infrastructure","Ensuring the physical 
security of cloud data centers", Ensuring Amazon EBS volumes are backed up ," D  
"
285, What are the advantages of the AWS Cloud? (Choose two.),Fixed rate monthly cost,No need to guess capacity requirements,"
Increased speed to market"," Increased upfront capital expenditure E. 
Physical access to cloud data centers ", BC  
286," When comparing the total cost of ownership (TCO) of an on-premises 
infrastructure to a cloud architecture, what costs should be considered? 
(Choose two.)","The credit card processing fees for application transactions in the 
cloud.","The cost of purchasing and installing server hardware in the 
on-premises data.",#VALUE!," The costs of third-party penetration 
testing. E. The advertising costs associated with an ongoing 
enterprise-wide campaign. ", BC  
287," Which AWS feature allows a company to take advantage of usage tiers for 
services across multiple member accounts?",Service control policies (SCPs),Consolidated billing,"All Upfront 
Reserved Instances", AWS Cost Explorer , B  
288," What is one of the customerג€™s responsibilities according to the AWS 
shared responsibility model?",Virtualization infrastructure,Network infrastructure,"Application 
security", Physical security of hardware ," C  
"
289," What helps a company provide a lower latency experience to its users 
globally?",Using an AWS Region that is central to all users,"Using a second 
Availability Zone in the AWS Region that is using used","Enabling caching 
in the AWS Region that is being used"," Using edge locations to put content 
closer to all users "," D  
"
290, What does AWS Marketplace allow users to do? (Choose two.),Sell unused Amazon EC2 Spot Instances.,"Sell solutions to other AWS 
users.",Buy third-party software that runs on AWS.," Purchase AWS 
security and compliance documents. E. Order AWS Snowball. ", BC  
291," Which AWS service provides a quick and automated way to create and manage 
AWS accounts?",AWS QuickSight,Amazon Lightsail,AWS Organizations," Amazon 
Connect "," C  
"
292, Which Amazon RDS feature can be used to achieve high availability?,Multiple Availability Zones,Amazon Reserved Instances,"Provisioned 
IOPS storage", Enhanced monitoring ," A  Explanation -Amazon RDS provides high availability and failover support 
for DB instances using Multi-AZ deployments. Amazon RDS uses several 
different technologies to provide failover support. Multi-AZ deployments 
for Oracle, PostgreSQL, MySQL, and MariaDB DB instances use Amazon's 
failover technology. SQL Server DB instances use SQL Server Database 
Mirroring 
(DBM)."
293," Where should users report that AWS resources are being used for malicious 
purposes?",AWS Abuse team,AWS Shield,AWS Support, AWS Developer Forums ," A  
"
294," Which AWS service needs to be enabled to track all user account changes 
within the AWS Management Console?",AWS CloudTrail,Amazon Simple Notification Service (Amazon SNS),"
VPC Flow Logs", AWS CloudHSM ," A  Explanation -AWS CloudTrail is a service that enables governance, 
compliance, operational auditing, and risk auditing of your AWS account. 
With CloudTrail, you can log, continuously monitor, and retain account 
activity related to actions across your AWS infrastructure. CloudTrail 
provides event history of your AWS account activity, including actions 
taken through the AWS Management Console, AWS SDKs, command line tools, and 
other AWS services. This event history simplifies security analysis, 
resource change tracking, and troubleshooting. In addition, you can use 
CloudTrail to detect unusual activity in your AWS accounts. These 
capabilities help simplify operational analysis and 
troubleshooting."
295,Loading...,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
296," Which of the following is an example of how moving to the AWS Cloud 
reduces upfront cost?",By replacing large variable costs with lower capital investments,"By 
replacing large capital investments with lower variable costs","By 
allowing the provisioning of compute and storage at a fixed level to meet 
peak demand"," By replacing the repeated scaling of virtual servers with a 
simpler fixed-scale model "," B  AWS does not require minimum spend commitments or long-term contracts. You 
replace large upfront expenses with low variable payments that only apply 
to what you use. With AWS you are not bound to multi-year agreements or 
complicated licensing models."
297," When designing a typical three-tier web application, which AWS services 
and/or features improve availability and reduce the impact failures? 
(Choose two.)",AWS Auto Scaling for Amazon EC2 instances,"Amazon VPC subnet ACLs to 
check the health of a service","Distributed resources across multiple 
Availability Zones"," AWS Server Migration Service (AWS SMS) to move Amazon 
EC2 instances into a different Region E. Distributed resources across 
multiple AWS points of presence "," AC  
"
298, Which cloud design principle aligns with AWS Cloud best practices?,Create fixed dependencies among application components,"Aggregate 
services on a single instance","Deploy applications in a single 
Availability Zone", Distribute the compute load across multiple resources ," D  Use load balancing for offloading encryption termination (TLS) to improve 
performance and to manage and route traffic effectively. Distribute traffic 
across multiple resources or services to allow your workload to take 
advantage of the elasticity that AWS 
provides."
299," Which of the following are recommended practices for managing IAM users? 
(Choose two.)","Require IAM users to change their passwords after a specified period of 
time",Prevent IAM users from reusing previous passwords,"Recommend that 
the same password be used on AWS and other sites"," Require IAM users to 
store their passwords in raw text E. Disable multi-factor authentication 
(MFA) for IAM users "," AB  
"
