Srno,Question,OptionA,OptionB,OptionC,OptionD,Answer
232," A company is creating a web application that will run on an Amazon EC2 
instance. The application on the instance needs access to an Amazon 
DynamoDB table for storage.What should be done to meet these requirements?","Create another AWS account root user with permissions to the DynamoDB 
table.","Create an IAM role and assign the role to the EC2 instance with 
permissions to the DynamoDB table.","Create an identity provider and 
assign the identity provider to the EC2 instance with permissions to the 
DynamoDB table."," Create identity federation with permissions to the 
DynamoDB table. ", B 
233," A company is creating a web application that allows customers to view 
photos in their web browsers. The website is hosted in us-east-1 on Amazon 
EC2 instances behind an Application Load Balancer. Users will be located in 
many places around the world.Which solution should provide all users with the fastest photo viewing 
experience?","Implement an AWS Auto Scaling group for the web server instances behind 
the Application Load Balancer.","Enable Amazon CloudFront for the website 
and specify the Application Load Balancer as the origin.","Move the photos 
into an Amazon S3 bucket and enable static website hosting."," Enable 
Amazon ElastiCache in the web server subnet. ", A c
234," A Solutions Architect is designing a highly available web application on 
AWS. The data served on the website is dynamic and is pulled from Amazon 
DynamoDB.All users are geographically close to one another.How can the Solutions Architect make the application highly available?","Host the website data on Amazon S3 and set permissions to enable public 
read-only access for users.","Host the web server data on Amazon 
CloudFront and update the objects in the Cloudfront distribution when they 
change.","Host the application on EC2 instances across multiple 
Availability Zones. Use an Auto Scaling group coupled with an Application 
Load Balancer."," Host the application on EC2 instances in a single 
Availability Zone. Replicate the EC2 instances to a separate region, and 
use an Application Load Balancer for high availability. ", B 
235," A company is migrating on-premises databases to AWS. The company's backend 
application produces a large amount of database queries for reporting 
purposes, and the company wants to offload some of those reads to Read 
Replica, allowing the primary database to continue performing efficiently.Which AWS database platforms will accomplish this? (Select TWO.)",Amazon RDS for Oracle,Amazon RDS for PostgreSQL,"Amazon RDS for 
MariaDB", Amazon DynamoDB E. Amazon RDS for Microsoft SQL Server , A com
236," An application launched on Amazon EC2 instances needs to publish 
personally identifiable information (PII) about customers using Amazon SNS. 
The application is launched in private subnets within an Amazon VPC.Which is the MOST secure way to allow the application to access service 
endpoints in the same region?",Use an internet gateway.,Use AWS PrivateLink.,Use a NAT gateway. , Use a proxy instance. , B 
237," A data-processing application runs on an i3.large EC2 instance with a 
single 100 GB EBS gp2 volume. The application stores temporary data in a 
small database(less than 30 GB) located on the EBS root volume. The application is 
struggling to process the data fast enough, and a Solutions Architect has 
determined that theI/O speed of the temporary database is the bottleneck.What is the MOST cost-efficient way to improve the database response times?","Enable EBS optimization on the instance and keep the temporary files on 
the existing volume.","Put the temporary database on a new 50-GB EBS gp2 
volume.",Move the temporary database onto instance storage.," Put the 
temporary database on a new 50-GB EBS io1 volume with a 3-K IOPS provision. "," D  io1 volumes, or Provisioned IOPS (PIOPS) SSDs, are best for: Critical 
business applications that require sustained IOPS performance, or more than 
10,000 IOPS or 160 MiB/s of throughput per volume, like large database 
workloads "
238," An application stores data in an Amazon RDS PostgreSQL Multi-AZ database 
instance. The ratio of read requests to write requests is about 2 to 1. 
Recent increases in traffic are causing very high latency.How can this problem be corrected?",Create a similar RDS PostgreSQL instance and direct all traffic to it. ,"Use the secondary instance of the Multiple Availability Zone for read 
traffic only.",Create a read replica and send half of all traffic to it. , Create a read replica and send all read traffic to it. , An a
239," A Solutions Architect is designing a system that will store Personally 
Identifiable Information (PII) in an Amazon S3 bucket. Due to compliance 
and regulatory requirements, both the master keys and unencrypted data 
should never be sent to AWS.What Amazon S3 encryption technique should the Architect choose?","Amazon S3 client-side encryption with an AWS KMS-managed customer 
master key (CMK)","Amazon S3 server-side encryption with an AWS 
KMS-managed key","Amazon S3 client-side encryption with a client-side 
master key", Amazon S3 server-side encryption with a customer-provided key , A S
240,Loading...,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
241," A company is deploying a reporting application on Amazon EC2. The 
application is expected to generate 1,000 documents every hour and each 
document will be800 MB. The company is concerned about strong data consistency and file 
locking, as various applications hosted on other EC2 instances will process 
the report documents in parallel when they become available.What storage solution will meet these requirements with the LEAST amount of 
administrative overhead?",Amazon EFS,Amazon S3,Amazon ElastiCache, Amazon EBS , A c
242," A Solutions Architect is building a WordPress-based web application hosted 
on AWS using Amazon EC2. This application serves as a blog for an 
international internet security company. The application must be 
geographically redundant and scalable. It must separate the public Amazon 
EC2 web servers from the privateAmazon RDS database, it must be highly available, and it must support 
dynamic port routing.Which combination of AWS services or capabilities will meet these 
requirements?","AWS Auto Scaling with a Classic Load Balancer, and AWS CloudTrail","
Amazon Route 53, Auto Scaling with an Application Load Balancer, and Amazon 
CloudFront","A VPC, a NAT gateway and Auto Scaling with a Network Load 
Balancer"," CloudFront, Route 53, and Auto Scaling with a Classic Load 
Balancer ", A 
243," An e-commerce application places orders in an Amazon SQS queue. When a 
message is received, Amazon EC2 worker instances process the request. The 
EC2 instances are in an Auto Scaling group.How should the architecture be designed to scale up and down with the LEAST 
amount of operational overhead?","Use an Amazon CloudWatch alarm on the EC2 CPU to scale the Auto Scaling 
group up and down.","Use an EC2 Auto Scaling health check for messages 
processed on the EC2 instances to scale up and down.","Use an Amazon 
CloudWatch alarm based on the number of visible messages to scale the Auto 
Scaling group up or down."," Use an Amazon CloudWatch alarm based on the 
CPU to scale the Auto Scaling group up or down. ", B 
244," A customer is migrating to AWS and requires applications to access Network 
File System shares without code changes. Data is critical and accessed 
frequently.Which storage solution should a Solutions Architect recommend to maximize 
availability and durability?",Amazon EBS,Amazon S3,AWS Storage Gateway for files, Amazon EFS , A c
245," A company has many applications on Amazon EC2 instances running in Auto 
Scaling groups. Company policies require that data on the attached Amazon 
EBS volume must be retained.Which actions will meet this requirement without impacting performance?",Enable Termination Protection on the Amazon EC2 instances.,"Disable 
DeleteOnTermination for the Amazon EBS volumes.","Use Amazon EC2 user data 
to set up a synchronization job for root volume data."," Change the auto 
scaling Health Check to point to a source on the root volume. ", A c
246," A company wants to expand its web services from us-east-1 into 
ap-southeast-1. The company stores a large amount of static content on its 
website, and recently received complaints about slow loading speeds and the 
website timing out.What should be done to meet the expansion goal while also addressing the 
latency and timeout issues?","Store the static content in Amazon S3 and enable S3 Transfer 
Acceleration.","Store the static content in an Amazon EBS volume in the 
ap-southeast-1 region and provision larger Amazon EC2 instances for the 
website.","Use an Amazon Route 53 simple routing policy to distribute 
cached content across three regions."," Use Amazon S3 to store the static 
content and configure an Amazon CloudFront distribution. ", D 
247," An application is scanning an Amazon DynamoDB table that was created with 
default settings. The application occasionally reads stale data when it 
queries the table.How can this issue be corrected?",Increase the provisioned read capacity of the table.,"Enable 
AutoScaling on the DynamoDB table.","Update the application to use 
strongly consistent reads."," Re-create the DynamoDB table with eventual 
consistency disabled. ", An a
248," A company is setting up a new website for online sales. The company will 
have a web tier and a database tier. The web tier consists of 
load-balanced, auto-scaledAmazon EC2 instances in multiple Availability Zones (AZs). The database 
tier is an Amazon RDS Multi-AZ deployment. The EC2 instances must connect 
securely to the database.How should the resources be launched?","EC2 instances: public subnet RDS database instances: public subnet Load 
balancer: public subnet","EC2 instances: public subnet RDS database 
instances: private subnet Load balancer: private subnet","EC2 instances: 
private subnet RDS database instances: public subnet Load balancer: public 
subnet"," EC2 instances: private subnet RDS database instances: private 
subnet Load balancer: public subnet ", D 
249," A customer set up an Amazon VPC with one private subnet and one public 
subnet with a NAT gateway. The VPC will contain a group of Amazon EC2 
instances.All instances will configure themselves at startup by downloading a 
bootstrap script from an Amazon S3 bucket with a policy that only allows 
access from the customer's Amazon EC2 instances and then deploys an 
application through GIT. A Solutions Architect has been asked to design a 
solution that provides the highest level of security regarding network 
connectivity to the Amazon EC2 instances.How should the Architect design the infrastructure?","Place the Amazon EC2 instances in the public subnet, with no EIPs; 
route outgoing traffic through the internet gateway.","Place the Amazon 
EC2 instances in a public subnet, and assign EIPs; route outgoing traffic 
through the NAT gateway.","Place the Amazon EC2 instances in a private 
subnet, and assign EIPs; route outgoing traffic through the internet 
gateway."," Place the Amazon EC2 instances in a private subnet, with no 
EIPs; route outgoing traffic through the NAT gateway ", B 
250," A Security team reviewed their company's VPC Flow Logs and found that 
traffic is being directed to the internet. The application in the VPC uses 
Amazon EC2 instances for compute and Amazon S3 for storage. The company's 
goal is to eliminate internet access and allow the application to continue 
to function.What change should be made in the VPC before updating the route table?",Create a NAT gateway for Amazon S3 access,"Create a VPC endpoint for 
Amazon S3 access",Create a VPC endpoint for Amazon EC2 access," Create a 
NAT gateway for Amazon EC2 access ", B 
251," A Solutions Architect needs to design a solution that will allow Website 
Developers to deploy static web content without managing server 
infrastructure. All web content must be accessed over HTTPS with a custom 
domain name. The solution should be scalable as the company continues to 
grow.Which of the following will provide the MOST cost-effective solution?",Amazon EC2 instance with Amazon EBS,"AWS Lambda function with Amazon 
API Gateway",Amazon CloudFront with an Amazon S3 bucket origin," Amazon 
S3 with a static website ", C 
252," A company is running a series of national TV campaigns. These 30-second 
advertisements will introduce sudden traffic peaks targeted at a Node.js 
application.The company expects traffic to increase from five requests each minute to 
more than 5,000 requests each minute.Which AWS service should a Solutions Architect use to ensure traffic surges 
can be handled?",AWS Lambda,Amazon ElastiCache,"Size EC2 instances to handle peak 
load", An Auto Scaling group for EC2 instances , A co
253," An insurance company stores all documents related to annual policies for 
the duration of the policies. The documents are created once and then 
stored until they are required, typically at the end of the policy. A 
document must be capable of being retrieved immediately. The company is now 
moving their document management to the AWS Cloud.Which service should a Solutions Architect recommend as a cost-effective 
solution that meets the company's requirements?",Amazon RDS MySQL,Amazon S3 Standard-Infrequent Access,"Amazon 
Glacier", Amazon S3 Standard , B 
254, How can a user track memory usage in an EC2 instance?,"Call Amazon CloudWatch to retrieve the memory usage metric data that 
exists for the EC2 instance.","Assign an IAM role to the EC2 instance with 
an IAM policy granting access to the desired metr","C. Use an instance 
type that supports memory usage reporting to a metric by default."," Place 
an agent on the EC2 instance to push memory usage to an Amazon CloudWatch 
custom metric. ", How 
255," A Solutions Architect must design a storage solution for incoming billing 
reports in CSV format. The data does not need to be scanned frequently and 
is discarded after 30 days.Which service will be MOST cost-effective in meeting these requirements?",Import the logs into an RDS MySQL instance.,"Use AWS Data Pipeline to 
import the logs into a DynamoDB table.","Write the files to an S3 bucket 
and use Amazon Athena to query the data."," Import the logs to an Amazon 
Redshift cluster ", C 
256," A Solutions Architect needs to deploy an HTTP/HTTPS service on Amazon EC2 
instances with support for WebSockets using load balancers.How can the Architect meet these requirements?",Configure a Network Load Balancer.,"Configure an Application Load 
Balancer.",Configure a Classic Load Balancer.," Configure a Layer-4 Load 
Balancer. "," A Solutions Architect needs to deploy an HTTP/HTTPS service on Amazon EC2 
instances with support for WebSockets using load balancers.How can the Architect meet these requirements?"
257," A Solution Architect is designing a web application that runs on Amazon 
EC2 instances behind a load balancer. All data in transit must be encrypted.Which solutions will meet the encryption requirement? (Select TWO.)","Use an Application Load Balancer (ALB) in passthrough mode, then 
terminate SSL on EC2 instances.","Use an Application Load Balancer (ALB) 
with a TCP listener, then terminate SSL on EC2 instances.","Use a Network 
Load Balancer (NLB) with a TCP listener, then terminate SSL on EC2 
instances."," Use an Application Load Balancer (ALB) with an HTTPS 
listener, then install SSL certificates on the ALB and EC2 instances. E. 
Use a Network Load Balancer (NLB) with an HTTPS listener, then install SSL 
certificates on the NLB and EC2 instances. ", C 
258," A user is designing a new service that receives location updates from 
3,600 rental cars every hour. The cars upload their location to an Amazon 
S3 bucket. Each location must be checked for distance from the original 
rental location.Which services will process the updates and automatically scale?",Amazon EC2 and Amazon EBS,Amazon Kinesis Firehouse and Amazon S3,"
Amazon ECS and Amazon RDS", Amazon S3 events and AWS Lambda , A 
259," A company is writing a new service running on Amazon EC2 that must create 
thumbnail images of thousands of images in a large archive. The system will 
write scratch data to storage during the process.Which storage service is best suited for this scenario?",EC2 instance store,Amazon EFS,Amazon CloudSearch," Amazon EBS 
Throughput Optimized HDD (st1) ", D 
260," A company processed 10 TB of raw data to generate quarterly reports. 
Although it is unlikely to be used again, the raw data needs to be 
preserved for compliance and auditing purposes.What is the MOST cost-effective way to store the data in AWS?",Amazon EBS Cold HDD (sc1),"Amazon S3 One Zone-Infrequent Access (S3 
One Zone-IA)",Amazon S3 Standard-Infrequent Access (S3 Standard-IA)," 
Amazon Glacier ", C 
261," A retail company operates an e-commerce environment that runs on Amazon 
EC2 instances behind an Application Load Balancer. The instances run in anAmazon EC2 Auto Scaling group. Images are hosted in an Amazon S3 bucket 
using a custom domain name.During a flash sale with 10,000 simultaneous users, some images on the 
website are not loading.What should be done to resolve the performance issue?",Move the images to the EC2 instances in the Auto Scaling group.,"
Enable Transfer Acceleration for the S3 bucket.","Configure an Amazon 
CloudFront distribution with the S3 bucket as the origin."," Increase the 
number of minimum, desired, and maximum EC2 instances in the Auto Scaling 
group. ", D 
262," A solutions Architect is designing a new workload where an AWS Lambda 
function will access an Amazon DynamoDB table.What is the MOST secure means of granting the Lambda function access to the 
DynamoDB table?","Create an identity and access management (IAM) role with the necessary 
permissions to access the DynamoDB table, and assign the role to the Lambda 
function.","Create a DynamoDB user name and password and give them to the 
Developer to use in the Lambda function.","Create an identity and access 
management (IAM) user, and create access and secret keys for the user. Give 
the user the necessary permissions to access the DynamoDB table. Have the 
Developer use these keys to access the resources."," Create an identity and 
access management (IAM) role allowing access from AWS Lambda and assign the 
role to the DynamoDB table. ", A so
263," A web application runs on Amazon EC2 instances behind an ELB Application 
Load Balancer. The instances run in an EC2 Auto Scaling group across 
multipleAvailability Zones. Every night, the Auto Scaling group doubles in size. 
Traffic analysis shows that users in a particular region are requesting the 
same static content stored locally on the EC2 instances.How can a Solutions Architect reduces the need to scale and improve 
application performance for the users?","Re-deploy the application in a new VPC that is closer to the users 
making the requests.","Create an Amazon CloudFront distribution for the 
site and redirect user traffic to the distribution.","Store the contents 
on Amazon EFS instead of the EC2 root volume."," Implement Amazon Redshift 
to create a repository of the content closer to the users. ", B 
264," A Solutions Architect is designing an application that will run on Amazon 
ECS behind an Application Load Balancer (ALB). For security reasons, the 
Amazon EC2 host instances for the ECS cluster are in a private subnet.What should be done to ensure that the incoming traffic to the host 
instances is from the ALB only?","Create network ACL rules for the private subnet to allow incoming 
traffic on ports 32768 through 61000 from the IP address of the ALB only. ","Update the EC2 cluster security group to allow incoming access from the 
IP address of the ALB only.","Modify the security group used by the EC2 
cluster to allow incoming traffic from the security group used by the ALB 
only.", Enable AWS WAF on the ALB and enable the ECS rule. , B 
265," A company wants to improve latency by hosting images within a public 
Amazon S3 bucket fronted by an Amazon CloudFront distribution. The company 
wants to restrict access to the S3 bucket to include the CloudFront 
distribution only, while also allowing CloudFront to continue proper 
functionality.What should be done after making the bucket private to restrict access with 
the LEAST operational overhead?","Create a CloudFront origin access identity and create a security group 
that allows access from CloudFront.","Create a CloudFront origin access 
identity and update the bucket policy to grant access to it.","Create a 
bucket policy restricting all access to the bucket to include CloudFront 
IPs only."," Enable the CloudFront option to restrict viewer access and 
update the bucket policy to allow the distribution. ", A co
266," A Solutions Architect is designing a new architecture that will use an 
Amazon EC2 Auto Scaling group.Which of the following factors determine the health check grace period? 
(Select TWO.)",How frequently the Auto Scaling group scales up or down.,"How many 
Amazon CloudWatch alarms are configured for status checks.","How much of 
the application code is embedded in the AMI."," How long it takes for the 
Auto Scaling group to detect a failure. E. How long the bootstrap script 
takes to run. ", AD 
267," A company plans to deploy a new application in AWS that reads and writes 
information to a database. The company wants to deploy the application in 
two different AWS Regions in an active-active configuration. The databases 
need to replicate to keep information in sync.What should be used to meet these requirements?",Amazon Athena with Amazon S3 cross-region replication,"AWS Database 
Migration Service with change data capture","Amazon DynamoDB with global 
tables", Amazon RDS for PostgreSQL with a cross-region Read Replica , D 
268," A company is developing a data lake solution in Amazon S3 to analyze 
large-scale datasets. The solution makes infrequent SQL queries only. In 
addition, the company wants to minimize infrastructure costs.Which AWS service should be used to meet these requirements?",Amazon Athena,Amazon Redshift Spectrum,Amazon RDS for PostgreSQL , Amazon Aurora , A co
269," A company needs to store data for 5 years. The company will need to have 
immediate and highly available access to the data at any point in time, but 
will not require frequent access.What lifecycle action should be taked to meet the requirements while 
reducing costs?","Transition objects from Amazon S3 Standard to Amazon S3 
Standard-Infrequent Access (S3 Standard-IA)","Transition objects to expire 
after 5 years.","Transition objects from Amazon S3 Standard to Amazon S3 
One Zone-Infrequent Access (S3 One Zone-IA)"," Transition objects from 
Amazon S3 Standard to the GLACIER storage class. ", A 
270," A company's Amazon RDS MySQL DB instance may be rebooted for maintenance 
and to apply patches. This database is critical and potential user 
disruption must be minimized.What should the Solution Architect do in this scenario?",Set up an RDS MySQL cluster,Create an RDS MySQL Read Replica.,"Set 
RDS MySQL to Multi-AZ.", Create an Amazon EC2 instance MySQL cluster. , D 
271," A company hosts a website using Amazon API Gateway on the front end. 
Recently, there has been heavy traffic on the website and the company wants 
to control access by allowing authenticated traffic only.How should the company limit access to authenticated users only? (Select 
TWO.)",Allow users that are authenticated through Amazon Cognito.,"Limit 
traffic through API Gateway.","Allow X.509 certificates to authenticate 
traffic."," Deploy AWS KMS to identify users. E. Assign permissions in AWS 
IAM to allow users. ", AE 
272," A company needs to use AWS resources to expand capacity for a website 
hosted in an on-premises data center. The AWS resources will include load 
balancers,Auto Scaling, and Amazon EC2 instances that will access an on-premises 
database. Network connectivity has been established, but no traffic is 
going to the AWS environment.How should Amazon Route 53 be configured to distribute load to the AWS 
environment? (Select TWO.)","Set up a weighted routing policy, distributing the workload between the 
load balancer and the on-premises environment.","Set up an A record to 
point the DNS name to the IP address of the load balancer.","Create 
multiple A records for the EC2 instances."," Set up a geolocation routing 
policy to distribute the workload between the load balancer and the 
on-premises environment. E. Set up a routing policy for failover using the 
on-premises environment as primary and the load balancer as secondary. ", AB 
273," Users submit requests to a service that takes several minutes to process. 
A Solutions Architect needs to ensure that these requests are processed at 
least once, and that the service has the ability to handle large increases 
in the number of requests.How should these requirements be met?","Put the requests into an Amazon SQS queue and configure Amazon EC2 
instances to poll the queue","Publish the message to an Amazon SNS topic 
that an Amazon EC2 subscriber can receive and process","Save the requests 
to an Amazon DynamoDB table with a DynamoDB stream that triggers an Amazon 
EC2 Spot Instance"," Use Amazon S3 to store the requests and configure an 
event notification to have Amazon EC2 instances process the new object ", A 
274," A Solutions Architect is designing an Amazon VPC that requires access to a 
remote API server using IPv6. Resources within the VPC should not be 
accessed directly from the Internet.How should this be achieved?",Use a NAT gateway and deny public access using security groups,"
Attach an egress-only internet gateway and update the routing tables","Use 
a NAT gateway and update the routing tables"," Attach an internet gateway 
and deny public access using security groups ", A S
275," When designing an Amazon SQS message-processing solution, messages in the 
queue must be processed before the maximum retention time has elapsed.Which actions will meet this requirement? (Choose two.)",Use AWS STS to process the messages,"Use Amazon EBS-optimized Amazon 
EC2 instances to process the messages","Use Amazon EC2 instances in an 
Auto Scaling group with scaling triggered based on the queue length"," 
Increase the SQS queue attribute for the message retention period E. 
Convert the SQS queue to a first-in first-out (FIFO) queue ", BD 
276," A company deployed a three-tier web application on Amazon EBS backed 
Amazon EC2 instances for the web and application tiers, and Amazon RDS for 
the database tier. The company is concerned about loss of data in the web 
and application tiers.What is the MOST efficient way to prevent data loss?","Create an Amazon EFS file system and run a shell script to copy the 
data","Create an Amazon EBS snapshot using an Amazon CloudWatch Events 
rule","Create an Amazon S3 snapshot policy to back up the Amazon EBS 
volumes"," Create a snapshot lifecycle policy that takes periodic snapshots 
of the Amazon EBS volumes ", A c
277," A company is using Amazon S3 for backups from an on-premises environment. 
Regulatory requirements state that data must be retained for at least 7 
years. The data is infrequently accessed for 35 days, but needs to be 
instantly available. After 35 days, the data is rarely accessed.Which combination of actions will provide the MOST cost-effective solution? 
(Choose two)","Change the backup so the data goes to Amazon S3 Standard-Infrequent 
Access (S3 Standard-IA) directly","Create an S3 lifecycle policy that 
moves the data to the GLACIER storage class after 7 years","Change the 
backup so the data goes to Amazon Glacier directly"," Create an S3 
lifecycle policy that moves the data to Amazon S3 Standard-Infrequent 
Access (S3 Standard-IA) after 35 days E. Creates an S3 lifecycle policy 
that moves the data to the GLACIER storage class after 35 days ", AB 
278," A Solutions Architect is building an online shopping application where 
users will be able to browse items, add items to a cart, and purchase the 
items. Images of items will be stored in Amazon S3 buckets organized by 
item category. When an item is no longer available for purchase, the item 
image will be deleted from theS3 bucket.Occasionally, during testing, item images deleted from the S3 bucket are 
still visible to some users.What is a flaw in this design approach?","Defining S3 buckets by item may cause partition distribution errors, 
which will impact performance.","Amazon S3 DELETE requests are eventually 
consistent, which may cause other users to view items that have already 
been purchased","Amazon S3 DELETE requests apply a lock to the S3 bucket 
during the operation, causing other users to be blocked"," Using Amazon S3 
for persistence exposes the application to a single point of failure ", B 
279," A Solution Architect is creating a serverless web application that must 
access mapping data in hundreds of data files, each containing 
approximately 30 KB of data. The storage required is expected to grow to 
hundreds of terabytes.Which storage solution is most cost-effective, yet still meets the 
requirements for this use case?",Amazon EFS,Amazon EBS Cold HDD (sc1),Amazon S3 Standard," Amazon 
DynamoDB ", A S
280," A company wants to create an application that will transmit protected 
health information (PHI) to thousands of service consumers in different AWS 
accounts. The application servers will sit in private VPC subnets. The 
routing for the application must be fault tolerant.What should be done to meet these requirements?","Create a VPC endpoint service and grant permissions to specific service 
consumers to create a connection.","Create a virtual private gateway 
connection between each pair of service provider VPCs and service consumer 
VPCs.","Create an internal Application Load Balancer in the service 
provider VPC and put application servers behind it."," Create a proxy 
server in the service provider VPC to route requests from service consumers 
to the application servers. ", A 
281," An application produces monthly reports that must be immediately 
accessible for up to 7 days. After 7 days, the data can be archived. 
Compliance policies require that the archived data be retrievable within 24 
hours of a request.What is the MOST cost-effective approach to satisfy the compliance 
requirement?","Store the data in Amazon S3 Standard storage with a lifecycle rule to 
transition the data to Amazon S3 Standard-Infrequent Access (S3 
Standard-IA) after 7 days, then transition to the GLACIER storage class 
after 30 days","Store the data in Amazon S3 Standard storage with a 
lifecycle rule to transition the data to Amazon S3 Standard-Infrequent 
Access (S3 Standard-IA) after 7 days","Store the data in Amazon S3 
Standard storage with a lifecycle rule to transition the data to the 
GLACIER storage class after 30 days"," Store the data in Amazon S3 Standard 
storage with a lifecycle rule to transition the data to the GLACIER storage 
class after 7 days ", B 
282," A company is developing a new stateless web service with low memory 
requirements. The service needs to scale based on demand.What is the MOST cost-effective solution?",Deploy the application onto AWS Elastic Beanstalk,"Deploy the 
application onto AWS Lambda with access through Amazon API Gateway","
Deploy the application onto an Amazon EC2 Spot Fleet"," Deploy the 
application onto a container with an Amazon ECS EC2 launch type ", C 
283," A company has an application that generates invoices and makes the 
invoices available online. Invoices are stored as PDFs in an Amazon S3 
bucket. Customers typically only view each invoice during the month it is 
issued. However, past invoices need to be immediately available. There are 
concerns over rising storage costs as the company gains more customers.What is the MOST cost-effective method to store the data?","Use Amazon S3 for current invoices. Set up lifecycle rules to migrate 
invoices to the GLACIER storage class after 30 days.","Store the invoices 
as text files. Use Amazon CloudFront to convert the invoices from text to 
PDF when customers download invoices.","Store the invoices as binaries in 
an Amazon RDS database instance. Retrieve them from the database when 
customers request invoices."," Use Amazon S3 for current invoices. Set up 
lifecycle rules to migrate invoices to Amazon S3 Standard-Infrequent Access 
(S3 Standard-IA) after 30 days. ", D 
284," A company is running its application in a single region on Amazon EC2 with 
Amazon EBS and Amazon S3 part of the storage design.What should be done to reduce data transfer costs?",Create a copy of the compute environment in another region,"Convert 
the application to run on [email protected]","Create an Amazon CloudFront 
distribution with Amazon S3 as the origin"," Replicate Amazon S3 data to 
buckets in regions closer to the requester ", D 
285," An application server needs to be in a private subnet without access to 
the Internet. The solution must retrieve and upload files to an Amazon S3 
bucket.How should a Solutions Architect design a solution to meet these 
requirements?",Use Amazon S3 VPC endpoints,Deploy a proxy server,"Use a NAT 
Gateway", Use a private Amazon S3 bucket , An 
286," A Solutions Architect must design a web application that will be hosted on 
AWS, allowing users to purchase access to premium, shared content that is 
stored in anS3 bucket. Upon payment, content will be available for download for 14 days 
before the user is denied access.Which of the following would be the LEAST complicated implementation?","Use an Amazon CloudFront distribution with an origin access identity 
(OAI). Configure the distribution with an Amazon S3 origin to provide 
access to the file through signed URLs. Design a Lambda function to remove 
data that is older than 14 days.","Use an S3 bucket and provide direct 
access to the file. Design the application to track purchases in a DynamoDB 
table. Configure a Lambda function to remove data that is older than 14 
days based on a query to Amazon DynamoDB.","Use an Amazon CloudFront 
distribution with an OAI. Configure the distribution with an Amazon S3 
origin to provide access to the file through signed URLs. Design the 
application to set an expiration of 14 days for the URI."," Use an Amazon 
CloudFront distribution with an OAI. Configure the distribution with an 
Amazon S3 origin to provide access to the file through signed URLs. Design 
the application to set an expiration of 60 minutes for the URL, and 
recreate the URL as necessary. ", C 
287," A Solutions Architect plans to migrate a load balancer tier from a data 
center to AWS. Several websites have multiple domains that require secure 
load balancing.The Architect decides to use Elastic Load Balancing Application Load 
Balancers.What is the MOST efficient method for achieving secure communication?","Create a wildcard certificate and upload it to the Application Load 
Balancer","Create an SNI certificate and upload it to the Application Load 
Balancer","Create a secondary proxy server to terminate SSL traffic before 
the traffic reaches the Application Load Balancer"," Let a third-party 
Certificate Manager manage certificates required to all domains and upload 
them to the Application Load Balancer ", A S
288," An application stores data in an Amazon RDS MySQL DB instance. The 
database traffic primarily consists of read queries, which are overwhelming 
the current database. A Solutions Architect wants to scale the database.What combination of steps will achieve the goal? (Choose two.)",Add the MySQL database instances to an Auto Scaling group,"Migrate 
the MySQL database to Amazon Aurora","Migrate the MySQL database to a 
PostgreSQL database"," Create read replicas in different Availability Zones 
E. Create an ELB Application Load Balancer ", An a
289," A Solutions Architect is designing an elastic application that will have 
between 10 and 50 Amazon EC2 concurrent instances running, dependent on 
load. Each instance must mount storage that will read and write to the same 
50 GB folder.Which storage type meets the requirements?",Amazon S3,Amazon EFS,Amazon EBS volumes," Amazon EC2 instance 
store ", A S
290," An application running on AWS Lambda requires an API key to access a 
third-party service. The key must be stored securely with audited access to 
the Lambda function only.What is the MOST secure way to store the key?",As an object in Amazon S3,"As a secure string in AWS Systems Manager 
Parameter Store","Inside a file on an Amazon EBS volume attached to the 
Lambda function", Inside a secrets file stored on Amazon EFS , An 
291," A company is launching a dynamic website, and the Operations team expects 
up to 10 times the traffic on the launch date. This website is hosted on 
Amazon EC2 instances and traffic is distributed by Amazon Route 53. A 
Solutions Architect must ensure that there is enough backend capacity to 
meet user demands. TheOperations team wants to scale down as quickly as possible after the launch.What is the MOST cost-effective and fault-tolerant solution that will meet 
the company's customer demands? (Choose two.)","Set up an Application Load Balancer to distribute traffic to multiple 
EC2 instances","Set up an Auto Scaling group across multiple Availability 
Zones for the website, and create scale-out and scale-in policies","Create 
an Amazon CloudWatch alarm to send an email through Amazon SNS when EC2 
instances experience higher loads"," Create an AWS Lambda function to 
monitor website load time, run it every 5 minutes, and use the AWS SDK to 
create a new instance if website load time is longer than 2 seconds E. Use 
Amazon CloudFront to cache the website content during launch and set a TTL 
for cache content to expire after the launch date ", AE 
292," A customer has an application that is used by enterprise customers outside 
of AWS. Some of these customers use legacy firewalls that cannot whitelist 
by DNS name, but whitelist based only on IP address. The application is 
currently deployed in two Availability Zones, with one EC2 instance in each 
that has Elastic IP addresses. The customer wants to whitelist only two IP 
addresses, but the two existing EC2 instances cannot sustain the amount of 
traffic.What can a Solutions Architect do to support the customer and allow for 
more capacity? (Choose two.)","Create a Network Load Balancer with an interface in each subnet, and 
assign a static IP address to each subnet.","Create additional EC2 
instances and put them on standby. Remap an Elastic IP address to a standby 
instance in the event of a failure.","Use Amazon Route 53 with a weighted, 
round-robin routing policy across the Elastic IP addresses to resolve one 
at a time."," Add additional EC2 instances with Elastic IP addresses, and 
register them with Amazon Route 53 E. Switch the two existing EC2 instances 
for an Auto Scaling group, and register them with the Network Load 
Balancer. ", BC 
